Nationality ,FIFA Ranking ,National Team Kit Sponsor,Position,National Team Jersey Number,Player DOB,Club ,Player Name , Appearances,Goals Scored ,Assists Provided ,Dribbles per 90,Interceptions per 90,Tackles per 90,Total Duels Won per 90,Save Percentage,Clean Sheets,Brand Sponsor/Brand Used
Switzerland,12,Puma,GK,1,"Dec 17, 1988",Borussia Monchengladbach,Yann Sommer,3,-,-,-,-,-,-,63.16%,33%,Puma
Switzerland,12,Puma,GK,12,"Jan 10, 1994",Montpellier,Jonas Omlin,0,-,-,-,-,-,-,-,-,Adidas
Switzerland,12,Puma,GK,21,"Dec 6, 1997",Borussia Dortmund,Gregor Kobel,1,-,-,-,-,-,-,50%,0%,Puma
Switzerland,12,Puma,GK,24,"Apr 2, 1998",Red Bull Salzburg,Philipp Kohn,0,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Nike
Switzerland,12,Puma,DF,13,"Aug 25, 1992",Torino,Ricardo Rodriguez,4,0,0,0.00,0.00,1.50,7.00,-,-,Nike
Switzerland,12,Puma,DF,22,"Dec 20, 1991",Newcastle United,Fabian Schar,2,0,0,0.00,1.32,1.32,7.94,-,-,Puma
Switzerland,12,Puma,DF,5,"Jul 19, 1995",Manchester City,Manuel Akanji,4,1,0,0.00,0.75,1.25,6.00,-,-,Nike
Switzerland,12,Puma,DF,4,"Sep 30, 1996",Borussia Monchengladbach,Nico Elvedi,2,0,0,0.00,0.50,1.00,4.50,-,-,Puma
Switzerland,12,Puma,DF,18,"Feb 4, 1998",Valencia,Eray Comert,2,0,0,0.00,4.09,0.00,2.05,-,-,Puma
Switzerland,12,Puma,MF,23,"Oct 10, 1991",Chicago Fire,Xherdan Shaqiri,3,1,1,0.78,0.00,0.00,3.12,-,-,Nike
Switzerland,12,Puma,MF,10,"Sep 27, 1992",Arsenal,Granit Xhaka,4,0,0,0.25,0.50,1.50,6.25,-,-,Puma
Switzerland,12,Puma,MF,8,"Apr 15, 1992",Nottingham Forest,Remo Freuler,4,1,0,0.56,0.83,2.22,3.34,-,-,Nike
Switzerland,12,Puma,MF,6,"Nov 20, 1996",Chelsea,Denis Zakaria,2,0,0,1.58,4.74,0.00,6.32,-,-,Adidas
Switzerland,12,Puma,MF,15,"Feb 6, 1997",Eintracht Frankfurt,Djibril Sow,4,0,1,0.33,0.33,0.66,3.65,-,-,Nike
Switzerland,12,Puma,MF,11,"Nov 3, 1991",Lugano,Renato Steffen,1,0,0,2.81,0.00,0.00,2.81,-,-,Nike
Switzerland,12,Puma,MF,2,"Apr 15, 1996",Mainz,Edimilson Fernandes,3,0,0,1.26,1.26,1.26,2.52,-,-,Nike
Switzerland,12,Puma,MF,20,"Jan 8, 1989",Basel,Fabian Frei,2,0,0,0.00,4.09,4.09,4.09,-,-,Puma
Switzerland,12,Puma,MF,14,"Jan 6, 1997",Bologna,Michel Aebischer,1,0,0,0.00,0.00,6.43,N.A,-,-,Adidas
Switzerland,12,Puma,MF,26,"Jun 30, 2002",Luzern,Ardon Jashari,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Puma
Switzerland,12,Puma,MF,25,"Feb 16, 2002",Young Boys,Fabian Rieder,2,0,0,1.34,0.00,4.03,8.06,-,-,Nike
Switzerland,12,Puma,FW,9,"Feb 22, 1992",Galatasaray,Haris Seferovic,3,0,0,0.00,0.00,0.00,0.00,-,-,Puma
Switzerland,12,Puma,FW,7,"Feb 14, 1997",Monaco,Breel Embolo,4,2,0,1.38,0.00,0.28,4.68,-,-,Nike
Switzerland,12,Puma,FW,17,"Aug 5, 1998",Augsburg,Ruben Vargas,4,0,1,1.56,0.31,0.00,3.13,-,-,Nike
Switzerland,12,Puma,FW,16,"Nov 11, 1993",Young Boys,Christian Fassnacht,1,0,0,N.A,0.00,0.00,N.A,-,-,Nike
Switzerland,12,Puma,FW,19,"May 24, 2000",Red Bull Salzburg,Noah Okafor,3,0,0,2.14,0.00,0.00,2.14,-,-,Nike
Ecuador ,41,Marathon,GK,1,"March 30, 1987",Aucas,Hernan Galindez,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,Nike
Ecuador ,41,Marathon,GK,12,"September 9, 2000",Independiente del Valle,Moises Ramirez,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,Nike
Ecuador ,41,Marathon,GK,22,"June 5, 1987",LDU Quito,Alexander Dominguez,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,Adidas
Ecuador ,41,Marathon,DF,2,"January 11, 1997",Santos Laguna,Felix Torres,3,0,1,0.33,1.33,0.67,6.67,-,-,Adidas
Ecuador ,41,Marathon,DF,3,"January 9, 2002",Bayer Leverkusen,Piero Hincapie,3,0,0,0.00,0.67,2.33,6.00,-,-,Adidas
Ecuador ,41,Marathon,DF,4,"October 22, 1991",Sao Paulo,Robert Arboleda,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Nike
Ecuador ,41,Marathon,DF,6,"October 16, 2001",Antwerp,William Pacho,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Nike
Ecuador ,41,Marathon,DF,7,"January 21, 1998",Brighton,Pervis Estupinan,3,0,0,2.33,1.00,2.33,6.00,-,-,Nike
Ecuador ,41,Marathon,DF,14,"September 28, 1994",Seattle Sounders FC,Xavier Arreaga,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Adidas
Ecuador ,41,Marathon,DF,17,February 18 1998,Genk,Angelo Preciado,3,0,1,0.34,1.70,2.38,5.10,-,-,Nike
Ecuador ,41,Marathon,DF,18,"July 12, 1999",Los Angeles FC,Diego Palacios,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Nike
Ecuador ,41,Marathon,DF,25,"August 4, 2000",Troyes,Jackson Porozo,2,0,0,0.00,2.84,1.89,5.69,-,-,Nike
Ecuador ,41,Marathon,MF,5,"March 12, 1999",Los Angeles FC,Jose Cifuentes,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Nike
Ecuador ,41,Marathon,MF,8,"April 19, 1995",FC Augsburg,Carlos Gruezo,1,0,0,0.00,0.00,3.91,3.91,-,-,Nike
Ecuador ,41,Marathon,MF,15,"January 21, 1988",Leon,Angel Mena,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Adidas
Ecuador ,41,Marathon,MF,16,"June 16, 2002",Brighton,Jeremy Sarmiento,3,0,0,N.A,N.A,N.A,N.A,-,-,Adidas
Ecuador ,41,Marathon,MF,19,"November 1, 2000",Real Valladolid,Gonzalo Plata,3,0,0,4.00,0.67,1.00,7.67,-,-,Nike
Ecuador ,41,Marathon,MF,20,"April 26, 1997",Los Angeles FC,Jhegson Mendez,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Nike
Ecuador ,41,Marathon,MF,21,"August 21, 1998",Talleres,Alan Franco,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Nike
Ecuador ,41,Marathon,MF,23,"November 2, 2001",Brighton,Moises Caicedo,3,1,0,0.00,0.67,2.00,4.33,-,-,Nike
Ecuador ,41,Marathon,MF,26,"March 4, 2000",Imbabura,Kevin Rodriguez,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Nike
Ecuador ,41,Marathon,FW,9,"July 17, 1994",Santos Laguna,Ayrton Preciado,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Nike
Ecuador ,41,Marathon,FW,10,"September 24, 1994",Pachuca,Romario Ibarra,2,0,0,0.50,1.32,0.00,1.32,-,-,Adidas
Ecuador ,41,Marathon,FW,11,"April 7, 1996",Cruz Azul,Michael Estrada,3,0,0,0.79,0.00,0.39,N.A,-,-,Nike
Ecuador ,41,Marathon,FW,13,"November 4, 1989",Fenerbahce,Enner Valencia,3,3,0,2.10,0.35,0.70,5.25,-,-,Nike
Ecuador ,41,Marathon,FW,24,"January 18, 1999",Newell's Old Boys,Djorkaeff Reasco,1,0,0,0.00,0.00,0.00,0.00,-,-,Nike
Qatar,60,Nike,GK,1,"Feb 19, 1990",Al-Sadd,Saad Al Sheeb,1,-,-,-,-,-,-,33.33%,0%,Adidas
Qatar,60,Nike,GK,22,"Feb 14, 1998",Al-Sadd,Meshaal Barsham,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,Nike
Qatar,60,Nike,GK,21,"May 24, 1996",Al-Gharafa,Yousef Hassan,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,Adidas
Qatar,60,Nike,DF,3,"Aug 28, 1993",Al-Sadd,Abdelkarim Hassan,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Nike
Qatar,60,Nike,DF,16,"Sep 7, 1990",Al-Sadd,Boualem Khoukhi,3,0,0,0.33,1.00,0.67,2.33,-,-,Adidas
Qatar,60,Nike,DF,2,"Aug 6, 1990",Al-Sadd,Pedro Miguel,3,0,0,1.03,2.74,2.05,6.51,-,-,Nike
Qatar,60,Nike,DF,5,"Dec 5, 1997",Al-Sadd,Tarek Salman,1,0,0,0.00,N.A,N.A,N.A,-,-,Adidas
Qatar,60,Nike,DF,,"Dec 16, 1997",Al-Duhail,Bassam Al-Rawi,1,0,0,0.00,0.00,0.00,4.00,-,-,Nike
Qatar,60,Nike,DF,13,"Sep 26, 1993",Al-Sadd,Musab Kheder,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Nike
Qatar,60,Nike,DF,14,"Aug 25, 1999",Al-Gharafa,Homam Ahmed,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Nike
Qatar,60,Nike,DF,25,"Feb 20, 2002",Al-Arabi,Jassem Gaber,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Nike
Qatar,60,Nike,MF,12,"Sep 16, 1990",Al-Duhail,Karim Boudiaf,3,0,0,1.95,0.00,0.97,8.76,-,-,Adidas
Qatar,60,Nike,MF,20,"Apr 10, 1996",-,Salem Al-Hajri,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Adidas
Qatar,60,Nike,MF,6,"Oct 28, 1990",Al-Rayyan,Abdulaziz Hatem,3,0,0,0.00,0.46,0.46,1.84,-,-,Adidas
Qatar,60,Nike,MF,8,"Jan 19, 1993",Al-Sadd,Ali Assadalla,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Adidas
Qatar,60,Nike,MF,4,"Sep 18, 1999",Al-Sadd,Mohammed Waad,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Adidas
Qatar,60,Nike,MF,23,"Oct 22, 1996",Al-Duhail,Assim Madibo,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Nike
Qatar,60,Nike,MF,26,"Mar 28, 2001",Al-Sadd,Mustafa Tarek,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,N.A
Qatar,60,Nike,FW,10,"Dec 11, 1990",Al-Sadd,Hassan Al-Haydos,3,0,0,2.14,0.86,1.29,1.71,-,-,Nike
Qatar,60,Nike,FW,11,"Nov 18, 1996",Al-Sadd,Akram Afif,3,0,0,1.67,0.00,0.00,3.33,-,-,Adidas
Qatar,60,Nike,FW,19,"Aug 19, 1996",Al-Duhail,Almoez Ali,3,0,0,1.19,0.40,0.40,3.19,-,-,Nike
Qatar,60,Nike,FW,17,"Apr 5, 1990",Al-Duhail,Ismaeel Mohammada,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Nike
Qatar,60,Nike,FW,9,"Dec 20, 1993",Al-Duhail,Mohammed Muntari,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Nike
Qatar,60,Nike,FW,7,"Jan 31, 1993",Al-Gharafa,Ahmed Alaaeldin,1,0,0,0.00,0.00,0.00,0.00,-,-,Nike
Qatar,60,Nike,FW,18,"Feb 24, 1998",Al-Wakrah,Khalid Muneer,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Nike
Qatar,60,Nike,FW,24,"Jul 18, 2001",Al-Rayyan,Naif Al-Hadhrami,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Adidas
Iran,24,Majid,GK,1,"Sep 12, 1992",Persepolis,Alireza Beiranvand,2,-,-,-,-,-,-,80.00%,0%,Adidas
Iran,24,Majid,GK,22,"Apr 26, 1993",Ponferradina,Amir Absedzadeh,0,-,-,-,-,-,-,-,-,Adidas
Iran,24,Majid,GK,24,"May 30, 1992",Esteghlal,Hossein Hosseini,2,-,-,-,-,-,-,50.00%,50%,Adidas
Iran,24,Majid,GK,12,"Apr 6, 1995",Sepahann,Payam Niazmand,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Adidas
Iran,24,Majid,DF,3,"Feb 25, 1990",AEK Athens,Ehsan Hajsafi,3,0,0,0.76,0.76,3.03,5.68,-,-,Adidas
Iran,24,Majid,DF,13,"Mar 23, 1994",Al Ahli,Hossein Kanaani,1,0,0,0.00,2.05,0.00,2.05,-,-,Nike
Iran,24,Majid,DF,8,"Apr 19, 1992",Persepolis,Morteza Pouraliganji,3,0,0,0.00,2.00,0.67,7.66,-,-,Adidas
Iran,24,Majid,DF,23,"Mar 21, 1990",Sepahan,Ramin Rezaeian,2,1,0,0.50,1.50,3.50,6.50,-,-,Nike
Iran,24,Majid,DF,5,"Sep 29, 1993",AEK Athens,Milad Mohammadi,3,0,0,0.45,0.45,4.55,7.72,-,-,Nike
Iran,24,Majid,DF,4,"May 31, 1989",Al-Ahli,Shojae Khalilzadeh,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Nike
Iran,24,Majid,DF,2,"Mar 24, 1996",Dinamo Zagreb,Sadegh Moharrami,1,0,0,0.00,1.00,1.00,3.00,-,-,Nike
Iran,24,Majid,DF,19,"Jun 20, 1996",Kayserispor,Majid Hosseini,3,0,0,0.00,2.00,2.00,6.33,-,-,Adidas
Iran,24,Majid,DF,25,"Jun 26, 1998",Esteghlal,Abolfazi Jalali,1,0,0,1.00,0.00,0.00,0.00,-,-,Nike
Iran,24,Majid,MF,11,"Apr 2, 1988",Persepolis,Vahid Amiri,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Nike
Iran,24,Majid,MF,7,"Aug 11, 1993",Feyenoord,Alireza Jahanbakhsh,2,0,0,1.53,1.53,1.53,3.05,-,-,Adidas
Iran,24,Majid,MF,6,"Oct 1, 1996",Vejle,Saeid Ezatolahi,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Nike
Iran,24,Majid,MF,16,"Sep 10, 1994",Persepolis,Mehdi Torabi,3,0,0,3.05,3.05,1.53,3.05,-,-,Nike
Iran,24,Majid,MF,15,"Jun 24, 1993",Esteghlal,Rouzbeh Cheshmi,2,1,0,0.00,3.05,0.00,3.06,-,-,Adidas
Iran,24,Majid,MF,14,"Sep 6, 1993",Brentford,Saman Ghoddos,1,0,0,0.00,0.00,2.05,2.05,-,-,Nike
Iran,24,Majid,MF,17,"Mar 10, 1996",Charleroi,Ali Gholizadeh,3,0,1,3.18,1.36,0.00,1.82,-,-,Nike
Iran,24,Majid,MF,21,"Jan 2, 1993",Shabab Al-Ahli,Ahmad Nourollahi,3,0,0,0.80,2.40,2.00,3.20,-,-,Nike
Iran,24,Majid,MF,18,"Feb 11, 1994",Kayserispor,Ali Karimi,3,0,0,0.00,2.76,2.76,9.19,-,-,Puma
Iran,24,Majid,FW,10,"Apr 3, 1990",Omonia,Karim Ansarifard,2,0,0,0.00,2.57,0.00,0.00,-,-,Nike
Iran,24,Majid,FW,20,"Jan 1, 1995",Bayer Leverkusen,Sardar Azmoun,3,0,0,0.71,0.00,0.00,6.37,-,-,Nike
Iran,24,Majid,FW,9,"Jul 18, 1992",Porto,Mehdi Taremi,3,2,1,1.67,0.67,1.33,6.34,-,-,Adidas
Wales,28,Adidas,GK,12,"Jun 22, 1993",Leicester City,Danny Ward,2,-,-,-,-,-,-,57.14%,0%,Nike
Wales,28,Adidas,GK,1,"Jan 24, 1987",Nottingham Forest,Wayne Hennessey,2,-,-,-,-,-,-,83.33%,0%,Nike
Wales,28,Adidas,GK,21,"Jul 17, 1992",Sheffield United,Adam Davies,0,-,-,-,-,-,-,N.A,N.A,Nike
Wales,28,Adidas,DF,4,"April 24, 1993",Tottenham,Ben Davies,3,0,0,1.13,0.38,1.51,8.67,-,-,Adidas
Wales,28,Adidas,DF,24,"May 30, 2000",Swansea City,Ben Cabango,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Adidas
Wales,28,Adidas,DF,6,"Oct 22, 1997",Rennes,Joe Rodon,3,0,0,0.00,1.33,0.67,2.00,-,-,Nike
Wales,28,Adidas,DF,5,"Nov 5, 1997",Bournemouth,Chris Mepham,3,0,0,0.00,0.33,2.33,7.33,-,-,Adidas
Wales,28,Adidas,DF,15,"Sept 14, 2000",Spezia,Ethan Ampadu,3,0,0,0.70,1.40,1.40,4.90,-,-,Nike
Wales,28,Adidas,DF,2,"July 21, 1989",AFC Wimbledon,Chris Gunter,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Adidas
Wales,28,Adidas,DF,3,"April 13, 2001",Nottingham Forest,Neco Williams,3,0,0,1.32,1.76,2.20,6.59,-,-,Puma
Wales,28,Adidas,DF,14,"Sept 23, 1995",Burnley,Connor Roberts,3,0,0,0.00,0.45,1.34,2.69,-,-,Nike
Wales,28,Adidas,MF,22,"Jan 25, 1999",Huddersfield Town,Sorba Thomas,1,0,0,0.00,0.00,0.00,0.00,-,-,Nike
Wales,28,Adidas,MF,7,"Mar 14, 2000",Swansea City,Joe Allen,2,0,0,0.00,0.96,0.96,2.87,-,-,Nike
Wales,28,Adidas,MF,26,"Nov 22, 1999",MK Dons,Matthew Smith,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Nike
Wales,28,Adidas,MF,23,"Nov 17, 2000",Dundee United,Dylan Levitt,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Puma
Wales,28,Adidas,MF,8,"Mar 22, 1997",Fulham,Harry Wilson,3,0,0,0.00,0.56,2.25,4.50,-,-,Adidas
Wales,28,Adidas,MF,16,"Jan 3, 1997",Portsmouth,Joe Morrell,2,0,0,0.00,2.90,N.A,N.A,-,-,Nike
Wales,28,Adidas,MF,18,"Oct 9, 1993",Swindon Town,Jonny Williams,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Adidas
Wales,28,Adidas,MF,10,"Dec 26, 1990",Nice,Aaron Ramsey,3,0,0,2.36,0.00,0.67,2.36,-,-,Nike
Wales,28,Adidas,FW,25,"Apr 27, 2000",Cardiff City,Rubin Colwill,1,0,0,0.00,0.00,0.00,0.00,-,-,Adidas
Wales,28,Adidas,FW,11,"Jul 16, 1989",Los Angeles FC,Gareth Bale,3,1,0,0.80,0.40,0.40,5.97,-,-,Adidas
Wales,28,Adidas,FW,13,"Aug 8, 1992",Bournemouth,Kieffer Moore,3,0,0,0.00,0.80,0.40,10.85,-,-,Adidas
Wales,28,Adidas,FW,19,"Dec 29, 1998",Cardiff City,Mark Harris,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Nike
Wales,28,Adidas,FW,9,"May 23, 2001",Nottingham Forest,Brennan Johnson,3,0,0,4.00,0.00,0.00,0.00,-,-,Adidas
Wales,28,Adidas,FW,20,"Nov 10, 1997",Fulham,Dan James,3,0,0,0.58,0.58,0.58,1.73,-,-,Adidas
Mexico ,15,Adidas,GK,13,"Jul 13, 1985",America,Guillermo Ochoa,3,-,-,-,-,-,-,50%,33%,Nike
Mexico ,15,Adidas,GK,1,"Sep 18, 1982",Juarez,Alfredo Talavera,0,-,-,-,-,-,-,-,-,Pirma
Mexico ,15,Adidas,GK,12,"Jul 3, 1987",Leon,Rodolfo Cota,0,-,-,-,-,-,-,-,-,Pirma
Mexico ,15,Adidas,DF,15,"Jan 17, 1988",Monterrey,Hector Moreno,3,0,0,0.00,0.33,0.67,5.00,-,-,Charly
Mexico ,15,Adidas,DF,23,"Aug 15, 1994",Monterrey,Jesus Gallardo,3,0,0,1.33,0.33,3.00,5.00,-,-,Nike
Mexico ,15,Adidas,DF,2,"Aug 29, 1991",America,Nestor Araujo,1,0,0,0.00,3.00,1.00,1.00,-,-,Nike
Mexico ,15,Adidas,DF,3,"Feb 24, 1997",Monterrey,Cesar Montes,3,0,1,0.67,0.67,2.00,7.33,-,-,Adidas
Mexico ,15,Adidas,DF,19,"Dec 10, 1997",Ajax,Jorge Sanchez,2,0,0,2.56,1.02,0.51,4.70,-,-,Nike
Mexico ,15,Adidas,DF,6,"Sep 7, 1998",Genk,Gerardo Arteaga,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Nike
Mexico ,15,Adidas,DF,26,"Jan 15, 1999",Pachuca,Kevin Alvarez,2,0,0,3.86,1.29,1.29,3.86,-,-,Adidas
Mexico ,15,Adidas,DF,5,"Oct 22, 1998",Cremonese,Johan Vasquez,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Nike
Mexico ,15,Adidas,MF,18,"Sep 28, 1986",Real Betis,Andres Guardado,1,0,0,0.00,0.00,8.57,8.57,-,-,Adidas
Mexico ,15,Adidas,MF,16,"Apr 19, 1990",Houston Dynamo,Hector Herrera,3,0,0,0.00,0.33,0.67,5.00,-,-,Nike
Mexico ,15,Adidas,MF,4,"Oct 24, 1997",Ajax,Edson Alvarez,2,0,0,0.51,2.05,1.02,13.29,-,-,Adidas
Mexico ,15,Adidas,MF,17,"Mar 24, 1996",AEK Athens,Orbelin Pineda,1,0,0,1.17,0.00,4.68,9.35,-,-,Adidas
Mexico ,15,Adidas,MF,21,"Aug 21, 1997",Cruz Azul,Uriel Antuna,3,0,0,0.00,0.00,4.86,6.08,-,-,Nike
Mexico ,15,Adidas,MF,14,"Jun 15, 1995",PSV,Erick Gutierrez,1,0,0,0.00,3.75,1.88,N.A,-,-,Adidas
Mexico ,15,Adidas,MF,8,"Jan 3, 1997",Cruz Azul,Carlos Rodriguez,2,0,0,2.00,0.00,0.00,8.44,-,-,Nike
Mexico ,15,Adidas,MF,25,"Sep 7, 1998",Guadalajara,Roberto Alvarado,1,0,0,1.00,0.00,0.00,10.58,-,-,Nike
Mexico ,15,Adidas,MF,7,"Jun 5, 1995",Monterrey,Luis Romo,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Adidas
Mexico ,15,Adidas,MF,10,"Nov 25, 1997",Guadalajara,Alexis Vega,3,0,0,1.38,0.46,0.00,4.13,-,-,Nike
Mexico ,15,Adidas,MF,24,"Jan 15, 1996",Pachuca,Luis Chavez,3,1,0,1.33,0.00,0.33,7.00,-,-,Nike
Mexico ,15,Adidas,FW,9,"May 5, 1991",Wolves,Raul Jimenez,3,0,0,0.00,1.61,0.00,11.25,-,-,Nike
Mexico ,15,Adidas,FW,22,"Jul 30, 1995",Napoli,Hirving Lozano,3,0,0,2.49,0.00,2.49,8.54,-,-,Nike
Mexico ,15,Adidas,FW,20,"Nov 18, 1992",America,Henry Martin,2,1,0,0.00,1.82,0.61,6.08,-,-,Adidas
Mexico ,15,Adidas,FW,11,"Mar 5, 1991",Monterrey,Rogelio Funes Mori,1,0,0,0.00,0.00,N.A,N.A,-,-,Puma
Saudi Arabia,49,Nike,GK,21,"Oct 10, 1991",Al-Hilal,Mohammed Al-Owais,3,-,-,-,-,-,-,73.68%,0%,Adidas
Saudi Arabia,49,Nike,GK,1,"Aug 14, 1997",Al-Ahli,Mohammed Al Yami,0,-,-,-,-,-,-,-,-,Adidas
Saudi Arabia,49,Nike,GK,22,"May 10, 2000",Al-Nassr,Nawaf Al-Aqidi,0,-,-,-,-,-,-,-,-,Nike
Saudi Arabia,49,Nike,DF,13,"May 25, 1992",Al-Hilal,Yasser Al-Shahrani,1,0,0,0.00,6.00,3.00,3.00,-,-,Adidas
Saudi Arabia,49,Nike,DF,6,"Sep 15, 1992",Al-Hilal,Mohammed Al-Breik,2,0,0,0.00,0.00,1.38,5.53,-,-,Nike
Saudi Arabia,49,Nike,DF,5,"Nov 21, 1989",Al-Hilal,Ali Al-Bulaihi,3,0,0,0.00,1.24,1.66,4.56,-,-,Nike
Saudi Arabia,49,Nike,DF,2,"May 6, 1994",Al-Nassr,Sultan Al-Ghanam,3,0,0,1.44,1.44,0.00,0.00,-,-,Nike
Saudi Arabia,49,Nike,DF,12,"Jul 18, 1999",Al-Hilal,Saud Abdulhamid,3,0,0,1.00,0.33,1.67,6.66,-,-,Adidas
Saudi Arabia,49,Nike,DF,4,"Jan 15, 1997",Al-Nassr,Abdulelah Al-Amri,3,0,0,0.00,1.98,0.49,N.A,-,-,Adidas
Saudi Arabia,49,Nike,DF,17,"Feb 9, 1999",Al-Shabab,Hassan Tambakti,2,0,0,0.00,1.00,2.00,5.50,-,-,Nike
Saudi Arabia,49,Nike,DF,3,"Jul 15, 1993",Al-Nassr,Abdullah Madu,1,0,0,0.00,2.05,2.05,6.14,-,-,Nike
Saudi Arabia,49,Nike,MF,18,"Jan 26, 1990",Al-Shabab,Nawaf Alabid,2,0,0,0.66,2.09,0.00,6.28,-,-,Nike
Saudi Arabia,49,Nike,MF,7,"Aug 1, 1989",Al-Hilal,Salman Al-Faraj,1,0,0,0.00,0.00,2.00,2.00,-,-,Adidas
Saudi Arabia,49,Nike,MF,10,"Aug 19, 1991",Al-Hilal,Salem Al-Dawsari,3,2,0,2.33,0.33,1.67,3.66,-,-,Nike
Saudi Arabia,49,Nike,MF,14,"Aug 3, 1992",Al-Hilal,Abdullah Otayf,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Nike
Saudi Arabia,49,Nike,MF,23,"Sep 22, 1994",Al-Hilal,Mohamed Kanno,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Nike
Saudi Arabia,49,Nike,MF,8,"Oct 11, 1994",Al-Hilal,Abdulellah Al-Malki,2,0,0,0.00,1.54,2.06,4.11,-,-,Adidas
Saudi Arabia,49,Nike,MF,16,"Feb 7, 1997",Al-Nassr,Sami Al-Najei,1,0,0,0.00,0.00,0.00,0.00,-,-,Adidas
Saudi Arabia,49,Nike,MF,15,"Mar 4, 1997",Al-Nassr,Ali Al-Hassan,1,0,0,0.00,0.00,0.00,N.A,-,-,Nike
Saudi Arabia,49,Nike,MF,24,"Dec 19, 1998",Al-Hilal,Nasser Al-Dawsari,1,0,0,0.00,0.00,N.A,N.A,-,-,Nike
Saudi Arabia,49,Nike,MF,20,"Jun 1, 1995",Al-Ittihad,Abdulrahman Al-Aboud,2,0,0,0.66,0.00,N.A,N.A,-,-,Nike
Saudi Arabia,49,Nike,FW,9,"May 14, 2000",Al-Fateh,Firas Al-Buraikan,3,0,1,1.67,0.67,1.00,6.36,-,-,Nike
Saudi Arabia,49,Nike,FW,11,"Nov 1, 1993",Al-Hilal,Saleh Al-Shehri,3,1,0,0.80,0.00,1.20,8.00,-,-,Adidas
Saudi Arabia,49,Nike,FW,25,"Mar 25, 2001",Al-Ahli,Haitham Asiri,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Nike
Denmark,18,Hummel,GK,1,"Nov 5, 1986",Nice,Kasper Schmeichel,3,-,-,-,-,-,-,72.73%,33%,Nike
Denmark,18,Hummel,GK,16,"Mar 22, 1999",Hertha Berlin,Oliver Christensen,0,-,-,-,-,-,-,-,-,Puma
Denmark,18,Hummel,GK,22,"Aug 4, 1992",Union Berlin,Frederik Ronnow,0,-,-,-,-,-,-,-,-,Adidas
Denmark,18,Hummel,DF,4,"Mar 26, 1989",AC Milan,Simon Kjaer,1,0,0,0.00,6.92,0.00,8.30,-,-,Nike
Denmark,18,Hummel,DF,6,"Apr 10, 1996",Barcelona,Andreas Christensen,3,1,0,0.00,1.33,1.67,6.00,-,-,Adidas
